route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
0004,1,4,Messejana/Cambeba/Papicu/TJ,,3,,,
0011,1,11,Circular 1/Centro,,3,,,
0012,1,12,Circular 2/Centro,,3,,,
0014,1,14,Aguanambi/Rodoviária II/Centro,,3,,,
0015,1,15,Cj Ceará/Antônio Bezerra I              ,,3,,,
0016,1,16,Cuca Barra/Papicu                       ,,3,,,
0017,1,17,Inter Shoppings/Siqueira,,3,,,
0020,1,20,Campus do Pici                          ,,3,,,
0021,1,21,Luciano Cavalcante/Papicu               ,,3,,,
0022,1,22,Jardim das Oliveiras/Centro             ,,3,,,
0024,1,24,Antônio Bezerra/Lagoa/Unifor            ,,3,,,
0025,1,25,Opaia/Lagoa                             ,,3,,,
0026,1,26,Antônio Bezerra/BRT/Messejana,,3,,,
0027,1,27,Siqueira/Aeroporto/Papicu,,3,,,
0028,1,28,Antônio Bezerra/BRT/Papicu,,3,,,
0029,1,29,Parangaba/Náutico                       ,,3,,,
0030,1,30,Siqueira/13 de Maio/Papicu,,3,,,
0031,1,31,Av. Borges de Melo I/Papicu,,3,,,
0032,1,32,Av. Borges de Melo II/Papicu,,3,,,
0034,1,34,Corujão/Av. Paranjana I                 ,,3,,,
0035,1,35,Corujão/Av. Paranjana II                ,,3,,,
0036,1,36,Corujão/Cj Ceará/Montese/Papicu,,3,,,
0038,1,38,Parangaba/Papicu                        ,,3,,,
0040,1,40,Parangaba/Lagoa                         ,,3,,,
0041,1,41,Parangaba/Oliveira Paiva/Papicu         ,,3,,,
0042,1,42,Antônio Bezerra/Francisco Sá/Papicu     ,,3,,,
0043,1,43,Cj Ceará/Fernandes Távora/Lagoa,,3,,,
0044,1,44,Parangaba/Montese/Papicu,,3,,,
0045,1,45,Cj Ceará/Montese/Papicu,,3,,,
0048,1,48,Corujão/Parangaba/Papicu                ,,3,,,
0049,1,49,Siqueira/Oliveira Paiva/Washington Soares,,3,,,
0050,1,50,Siqueira/Washington Soares/Papicu,,3,,,
0051,1,51,Grande Circular I,,3,,,
0052,1,52,Grande Circular II                      ,,3,,,
0053,1,53,Messejana/Washington Soares/Papicu,,3,,,
0055,1,55,Corujão/Grande Circular I               ,,3,,,
0056,1,56,Corujão/Grande Circular II              ,,3,,,
0057,1,57,Corujão/Antônio Bezerra/Jardim Iracema/Centro,,3,,,
0058,1,58,Corujão/Jardim Guanabara/N Assunção II  ,,3,,,
0060,1,60,Parquelândia/Parangaba                  ,,3,,,
0063,1,63,Corujão/Bom Jardim/Siqueira/Parangaba,,3,,,
0065,1,65,Siqueira/13 de Maio/Assembleia,,3,,,
0066,1,66,Parangaba/Aeroporto/Papicu,,3,,,
0067,1,67,Lagoa/Albert Sabin                      ,,3,,,
0068,1,68,Messejana/Cambeba/Papicu/LJ,,3,,,
0069,1,69,Lagoa/Via Expressa/Papicu,,3,,,
0070,1,70,Cuca Barra/Parangaba,,3,,,
0071,1,71,Antônio Bezerra/BRT/Mucuripe,,3,,,
0072,1,72,Antônio Bezerra/Parangaba               ,,3,,,
0073,1,73,Siqueira/BRT/Praia de Iracema,,3,,,
0074,1,74,Antônio Bezerra/Unifor                  ,,3,,,
0075,1,75,Campus do Pici/Unifor                   ,,3,,,
0076,1,76,Cj Ceará/Aldeota/Papicu,,3,,,
0077,1,77,Parangaba/Mucuripe                      ,,3,,,
0078,1,78,Siqueira/Mucuripe/ED,,3,,,
0079,1,79,Antônio Bezerra/BRT/Náutico,,3,,,
0080,1,80,Francisco Sá/Parangaba                  ,,3,,,
0081,1,81,Cj Ceará/Antônio Bezerra II             ,,3,,,
0082,1,82,Antônio Bezerra/Perimetral/Messejana,,3,,,
0083,1,83,Cj Ceará/Lagoa/Parangaba,,3,,,
0084,1,84,Siqueira/Perimetral/Messejana,,3,,,
0085,1,85,Lagoa/Aldeota                           ,,3,,,
0086,1,86,Bezerra de Menezes/Santos Dumont        ,,3,,,
0087,1,87,Expresso/Siqueira/Papicu                ,,3,,,
0088,1,88,Antônio Bezerra/Albert Sabin            ,,3,,,
0089,1,89,Expresso/Parangaba/Papicu               ,,3,,,
0091,1,91,Expresso/Antônio Bezerra/Parangaba      ,,3,,,
