stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
10,,"AVENIDA CEL CARVALHO, 1135",,-3.702286,-38.590602,,,0,,,
1000,,"RUA DOR JOAO MOREIRA, 489",,-3.722157,-38.528991,,,0,,,
1001,,"RUA DOR JOAO MOREIRA, 163",,-3.723169,-38.526007,,,0,,,
1010,,"AVENIDA IMPERADOR, 550",,-3.726137,-38.534206,,,0,,,
1013,,"AVENIDA IMPERADOR, 262",,-3.72369,-38.533477,,,0,,,
1014,,"RUA SAO PAULO, 955",,-3.723879,-38.534034,,,0,,,
1015,,"RUA GUILHERME ROCHA, 1048",,-3.724543,-38.535467,,,0,,,
102,,"RUA BETA, 202",,-3.71436,-38.600778,,,0,,,
1025,,"RUA CASTRO E SILVA, 409",,-3.723266,-38.529181,,,0,,,
1029,,"AVENIDA TRISTAO GONCALVES, 211",,-3.723792,-38.532204,,,0,,,
103,,"RUA DOR QUIXADA FELICIO, 441",,-3.709547,-38.597229,,,0,,,
1030,,"RUA CASTRO E SILVA, 181",,-3.723972,-38.527042,,,0,,,
1032,,"RUA CASTRO E SILVA, 38",,-3.724408,-38.525696,,,0,,,
1033,,"RUA SENA MADUREIRA, 761",,-3.725933,-38.525604,,,0,,,
1037,,"RUA DES GEMINIANO JUREMA, 85",,-3.768659,-38.438854,,,0,,,
1038,,"RUA MIRTES CORDEIRO, 3720",,-3.781905,-38.622155,,,0,,,
1043,,"AVENIDA H CJ CEARA, 3437",,-3.77688,-38.620167,,,0,,,
1044,,"AVENIDA H CJ CEARA, 3439",,-3.776907,-38.620458,,,0,,,
1045,,"AVENIDA J CJ CEARA, 291",,-3.776393,-38.621114,,,0,,,
1046,,"AVENIDA J CJ CEARA, 1015",,-3.776785,-38.621323,,,0,,,
1047,,"AVENIDA J CJ CEARA, 1015",,-3.775592,-38.62069,,,0,,,
1048,,"AVENIDA J CJ CEARA, 2898",,-3.773589,-38.619656,,,0,,,
1049,,"AVENIDA H CJ CEARA, 2285",,-3.776681,-38.6181,,,0,,,
1050,,"AVENIDA H CJ CEARA, 2280 B",,-3.776688,-38.618163,,,0,,,
1052,,"AVENIDA H CJ CEARA, 1991 A",,-3.776489,-38.616184,,,0,,,
1053,,"AVENIDA H CJ CEARA, 1992",,-3.776471,-38.616026,,,0,,,
1054,,"AVENIDA C CJ CEARA, 2104",,-3.776336,-38.616402,,,0,,,
1055,,"AVENIDA C CJ CEARA, 1799",,-3.774291,-38.615799,,,0,,,
1056,,"AVENIDA C CJ CEARA, 1799",,-3.774166,-38.615762,,,0,,,
1057,,"AVENIDA H CJ CEARA, 1802",,-3.776331,-38.614678,,,0,,,
1058,,"AVENIDA SOUSA CARVALHO, 3619",,-3.776277,-38.614124,,,0,,,
106,,"RUA BENU MARCONDES, 600",,-3.711873,-38.599268,,,0,,,
1060,,"AVENIDA H CJ CEARA, 1610",,-3.776121,-38.612759,,,0,,,
1061,,"AVENIDA H CJ CEARA, 1476 A",,-3.77595,-38.611242,,,0,,,
1062,,"AVENIDA 343 A CJ CEARA, 1456",,-3.775941,-38.611194,,,0,,,
1063,,"RUA BARRA VERMELHA, 2362 A",,-3.77774,-38.611989,,,0,,,
1069,,"RUA IRACEMA, 930",,-3.845492,-38.528994,,,0,,,
107,,"RUA BENU MARCONDES, 421",,-3.712159,-38.597565,,,0,,,
1070,,"RUA ANGELA DINIZ, 930",,-3.845384,-38.528904,,,0,,,
1077,,"AVENIDA EDILSON B SOARES, 1471",,-3.788761,-38.472513,,,0,,,
1079,,"AVENIDA WASHINGTON SOARES, 3840",,-3.789997,-38.48055,,,0,,,
1080,,"AVENIDA WASHINGTON SOARES, 3340",,-3.787602,-38.480602,,,0,,,
1082,,"AVENIDA WASHINGTON SOARES, SN",,-3.785908,-38.480994,,,0,,,
1083,,"AVENIDA WASHINGTON SOARES, SN",,-3.7826,-38.481153,,,0,,,
1084,,"AVENIDA WASHINGTON SOARES, SN",,-3.782528,-38.481016,,,0,,,
1085,,"RUA ESTRADA DA URUCUTUBA, 2181",,-3.798755,-38.616675,,,0,,,
1086,,"RUA ESTRADA DA URUCUTUBA, 2191",,-3.79883,-38.616669,,,0,,,
1087,,"RUA NS 02 RES BOM JARDIM, 163",,-3.798528,-38.617369,,,0,,,
1089,,"ESTRADA DA URUCUTUBA, 1956",,-3.798536,-38.614211,,,0,,,
1090,,"ESTRADA DA URUCUTUBA, 1966",,-3.798441,-38.614158,,,0,,,
1091,,"ESTRADA DA URUCUTUBA, 1758",,-3.798107,-38.612021,,,0,,,
1092,,"ESTRADA DA URUCUTUBA, 1795",,-3.798204,-38.612187,,,0,,,
1093,,"RUA BARRA MANSA, 342",,-3.79565,-38.611507,,,0,,,
1094,,"RUA BARRA MANSA, 638",,-3.794767,-38.614231,,,0,,,
1095,,"RUA FRANCISCO PAIVA, 1032",,-3.791265,-38.614406,,,0,,,
1096,,"RUA FRANCISCO PAIVA, 1034",,-3.791007,-38.614329,,,0,,,
1097,,"RUA FRANCISCO PAIVA, 1326",,-3.793495,-38.615116,,,0,,,
