route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
0101,D,101-5790508,,,,,shape0101-I,1
0101,D,101-5790509,,,,,shape0101-V,1
0101,D,101-5790510,,,,,shape0101-I,1
0101,D,101-5790511,,,,,shape0101-V,1
0101,D,101-5790512,,,,,shape0101-I,1
0101,D,101-5790513,,,,,shape0101-V,1
0101,D,101-5790514,,,,,shape0101-I,1
0101,D,101-5790515,,,,,shape0101-V,1
0101,D,101-5790516,,,,,shape0101-I,1
0101,D,101-5790517,,,,,shape0101-V,1
0101,D,101-5790518,,,,,shape0101-I,1
0101,D,101-5790519,,,,,shape0101-V,1
0101,D,101-5790520,,,,,shape0101-I,1
0101,D,101-5790521,,,,,shape0101-V,1
0101,D,101-5790522,,,,,shape0101-I,1
0101,D,101-5790523,,,,,shape0101-V,1
0101,D,101-5790524,,,,,shape0101-I,1
0101,D,101-5790525,,,,,shape0101-V,1
0101,D,101-5790526,,,,,shape0101-I,1
0101,D,101-5790527,,,,,shape0101-V,1
0101,D,101-5790528,,,,,shape0101-I,1
0101,D,101-5790529,,,,,shape0101-V,1
0101,D,101-5790530,,,,,shape0101-I,1
0101,D,101-5790531,,,,,shape0101-V,1
0101,D,101-5790532,,,,,shape0101-I,1
0101,D,101-5790533,,,,,shape0101-V,1
0101,D,101-5790534,,,,,shape0101-I,1
0101,D,101-5790535,,,,,shape0101-V,1
0101,D,101-5790536,,,,,shape0101-I,1
0101,D,101-5790537,,,,,shape0101-V,1
0101,D,101-5790538,,,,,shape0101-I,1
0101,D,101-5790539,,,,,shape0101-V,1
0101,D,101-5790540,,,,,shape0101-I,1
0101,D,101-5790541,,,,,shape0101-V,1
0101,D,101-5790542,,,,,shape0101-I,1
0101,D,101-5790543,,,,,shape0101-V,1
0101,D,101-5790544,,,,,shape0101-I,1
0101,D,101-5790545,,,,,shape0101-V,1
0101,U,101-5914395,,,,,shape0101-I,1
0101,U,101-5914396,,,,,shape0101-V,1
0101,U,101-5914397,,,,,shape0101-I,1
0101,U,101-5914398,,,,,shape0101-V,1
0101,U,101-5914399,,,,,shape0101-I,1
0101,U,101-5914400,,,,,shape0101-V,1
0101,U,101-5914401,,,,,shape0101-I,1
0101,U,101-5914402,,,,,shape0101-V,1
0101,U,101-5914403,,,,,shape0101-I,1
0101,U,101-5914404,,,,,shape0101-V,1
0101,U,101-5914405,,,,,shape0101-I,1
0101,U,101-5914406,,,,,shape0101-V,1
0101,U,101-5914407,,,,,shape0101-I,1
0101,U,101-5914408,,,,,shape0101-V,1
